uri,track_name,artist_names,peak_rank,weeks_on_chart,danceability,energy,music_key,loudness,music_mode,speechiness,acousticness,tempo
spotify:track:5zNxUkUW9WiV5oyg6gh2wB,DANÇARINA,"PEDRO SAMPAIO, Mc Pedrinho",32,5,0.778,0.571,A,-4.776,Minor,0.0788,0.0423,134.999
spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,31,26,0.908,0.669,G,-2.827,Major,0.0738,0.00286,112.238
spotify:track:6lX6l7OuA3qrnIRfdsr0dw,Medallo,"Blessd, Justin Quiles, Lenny Tavárez",48,18,0.787,0.7,E,-4.598,Minor,0.0768,0.568,90.02
spotify:track:1mWdTewIgB3gtBM3TOSFhB,Butter,BTS,2,44,0.759,0.459,G#,-5.187,Major,0.0948,0.00323,109.997
spotify:track:1ZdhOMWyFR8Iv9eylMGYg2,Mount Everest,Labrinth,36,7,0.494,0.428,C,-7.239,Minor,0.205,0.236,87.724
spotify:track:2rDZhKnPaPG054ExZ6nXUS,Jordan,Ryan Castro,53,4,0.796,0.68,A#,-5.555,Minor,0.37,0.0575,179.923
spotify:track:5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,2,68,0.68,0.826,C,-5.487,Major,0.0309,0.0212,118.051
spotify:track:5wANPM4fQCJwkGd4rN57mH,drivers license,Olivia Rodrigo,1,63,0.561,0.431,A#,-8.81,Major,0.0578,0.768,143.875
spotify:track:6Y46tOTRhkBamosyuWa6YX,LA FAMA (with The Weeknd),"ROSALÍA, The Weeknd",32,15,0.766,0.295,C,-7.893,Minor,0.0464,0.947,136.016
spotify:track:58ge6dfP91o9oXMzq3XkIS,505,Arctic Monkeys,57,12,0.52,0.852,C,-5.866,Major,0.0543,0.00237,140.267
spotify:track:0Bv7O6fmZk3GrNQFYJaXPn,"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA",58,8,0.672,0.745,F,-5.269,Minor,0.3,0.438,173.974
spotify:track:4MzXwWMhyBbmu6hOcLVD49,DÁKITI,"Bad Bunny, Jhay Cortez",1,73,0.731,0.573,E,-10.059,Minor,0.0544,0.401,109.928
spotify:track:6ylDpki1VpIsc525KC1ojF,Tacones Rojos,Sebastian Yatra,45,18,0.746,0.844,B,-3.499,Minor,0.0359,0.062,123.014
spotify:track:3uwnnTQcHM1rDqSfA4gQNz,Cool for the Summer,Demi Lovato,61,1,0.583,0.61,F,-5.639,Minor,0.0382,0.00425,114.06
spotify:track:5TMLavqGRKNxgzMBrVpC9R,Mon Amour - Remix,"zzoilo, Aitana",34,29,0.748,0.761,D,-6.621,Major,0.102,0.122,116.041
spotify:track:0HqZX76SFLDz2aW8aiqi7G,Bones,Imagine Dragons,63,2,0.773,0.742,F,-3.678,Minor,0.046,0.0206,114.071
spotify:track:5gflgO9EPbIBf16n5TKnQS,Yo Voy (feat. Daddy Yankee),Zion & Lennox,63,5,0.808,0.697,A#,-5.899,Major,0.241,0.041,95.06
spotify:track:72jYQj3RgTR1DFLfibD71B,ARASAN DA,UZI,65,1,0.742,0.832,A#,-6.812,Major,0.156,0.425,105.978
spotify:track:4RVwu0g32PAqgUiJoXsdF8,Happier Than Ever,Billie Eilish,6,34,0.332,0.225,C,-8.697,Major,0.0348,0.767,81.055
spotify:track:0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,Tate McRae,38,7,0.614,0.644,D,-5.372,Minor,0.0426,0.0134,160.036
